event_id,timestamp,username,ip_address,location,hour_of_day,success,failed_attempts_in_window,suspicious_indicator,event_type
EVT-INC-0,2026-09-19 03:07:00.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,1,True,login_failed
EVT-INC-1,2026-09-19 03:07:20.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,2,True,login_failed
EVT-INC-2,2026-09-19 03:07:40.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,3,True,login_failed
EVT-INC-3,2026-09-19 03:08:00.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,4,True,login_failed
EVT-INC-4,2026-09-19 03:08:20.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,5,True,login_failed
EVT-INC-5,2026-09-19 03:08:40.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,False,6,True,login_failed
EVT-INC-6,2026-09-19 03:09:15.000000,s.iyer,203.0.113.77,"Bucharest, RO",3,True,6,True,login_success_after_failures
EVT-1001,2026-09-19 08:38:04.544255,a.khan,10.103.149.55,"Mumbai, IN",8,True,0,False,login_success
EVT-1023,2026-09-19 08:43:04.544255,p.raman,10.91.153.129,"Chennai, IN",8,True,0,False,login_success
EVT-1016,2026-09-19 08:59:04.544255,j.fernandes,10.87.148.140,"Mumbai, IN",8,True,0,False,login_success
EVT-1020,2026-09-19 09:04:04.544255,j.fernandes,10.82.241.37,"Coimbatore, IN",9,True,0,False,login_success
EVT-1004,2026-09-19 09:04:04.544255,s.iyer,10.166.182.250,"Chennai, IN",9,True,0,False,login_success
EVT-1011,2026-09-19 09:09:04.544255,v.das,10.16.106.83,"Chennai, IN",9,True,0,False,login_success
EVT-1003,2026-09-19 09:12:04.544255,v.das,10.203.242.206,"Coimbatore, IN",9,True,0,False,login_success
EVT-1038,2026-09-19 09:13:04.544255,s.iyer,10.131.167.156,"Bengaluru, IN",9,True,0,False,login_success
EVT-1008,2026-09-19 09:17:04.544255,s.iyer,10.28.10.226,"Coimbatore, IN",9,True,0,False,login_success
EVT-1031,2026-09-19 09:22:04.544255,p.raman,10.161.81.166,"Mumbai, IN",9,True,0,False,login_success
EVT-1029,2026-09-19 09:45:04.544255,s.iyer,10.86.87.24,"Mumbai, IN",9,True,0,False,login_success
EVT-1015,2026-09-19 09:56:04.544255,s.iyer,10.103.134.208,"Bengaluru, IN",9,True,0,False,login_success
EVT-1013,2026-09-19 10:03:04.544255,j.fernandes,10.140.215.45,"Coimbatore, IN",10,True,0,False,login_success
EVT-1018,2026-09-19 10:06:04.544255,v.das,10.46.121.245,"Mumbai, IN",10,True,0,False,login_success
EVT-1021,2026-09-19 10:07:04.544255,j.fernandes,10.175.5.55,"Bengaluru, IN",10,True,0,False,login_success
EVT-1006,2026-09-19 10:11:04.544255,s.iyer,10.123.44.134,"Coimbatore, IN",10,True,0,False,login_success
EVT-1005,2026-09-19 10:14:04.544255,v.das,10.218.124.167,"Chennai, IN",10,True,0,False,login_success
EVT-1033,2026-09-19 10:14:04.544255,j.fernandes,10.167.71.71,"Bengaluru, IN",10,True,0,False,login_success
EVT-1025,2026-09-19 10:20:04.544255,p.raman,10.171.25.247,"Coimbatore, IN",10,True,0,False,login_success
EVT-1002,2026-09-19 10:25:04.544255,a.khan,10.101.172.34,"Bengaluru, IN",10,True,0,False,login_success
EVT-1034,2026-09-19 10:38:04.544255,j.fernandes,10.231.164.196,"Chennai, IN",10,True,0,False,login_success
EVT-1036,2026-09-19 10:58:04.544255,j.fernandes,10.106.51.24,"Mumbai, IN",10,True,0,False,login_success
EVT-1024,2026-09-19 10:58:04.544255,p.raman,10.176.210.71,"Chennai, IN",10,True,0,False,login_success
EVT-1035,2026-09-19 11:00:04.544255,a.khan,10.142.28.57,"Mumbai, IN",11,True,0,False,login_success
EVT-1030,2026-09-19 11:08:04.544255,a.khan,10.254.75.206,"Coimbatore, IN",11,True,0,False,login_success
EVT-1009,2026-09-19 11:12:04.544255,s.iyer,10.247.34.1,"Chennai, IN",11,True,0,False,login_success
EVT-1032,2026-09-19 11:14:04.544255,p.raman,10.135.100.15,"Chennai, IN",11,True,0,False,login_success
EVT-1039,2026-09-19 11:21:04.544255,s.iyer,10.105.191.71,"Mumbai, IN",11,True,0,False,login_success
EVT-1019,2026-09-19 11:24:04.544255,v.das,10.33.181.251,"Coimbatore, IN",11,True,0,False,login_success
EVT-1012,2026-09-19 11:28:04.544255,p.raman,10.226.11.242,"Coimbatore, IN",11,True,0,False,login_success
EVT-1014,2026-09-19 11:35:04.544255,j.fernandes,10.200.208.240,"Mumbai, IN",11,True,0,False,login_success
EVT-1010,2026-09-19 12:06:04.544255,a.khan,10.70.150.60,"Coimbatore, IN",12,True,0,False,login_success
EVT-1028,2026-09-19 12:28:04.544255,v.das,10.77.77.186,"Coimbatore, IN",12,True,0,False,login_success
EVT-1027,2026-09-19 12:33:04.544255,v.das,10.68.74.83,"Chennai, IN",12,True,0,False,login_success
EVT-1007,2026-09-19 12:55:04.544255,v.das,10.58.243.41,"Mumbai, IN",12,True,0,False,login_success
EVT-1017,2026-09-19 12:55:04.544255,j.fernandes,10.194.70.163,"Mumbai, IN",12,True,0,False,login_success
EVT-1026,2026-09-19 13:06:04.544255,s.iyer,10.9.29.123,"Mumbai, IN",13,True,0,False,login_success
EVT-1022,2026-09-19 13:06:04.544255,s.iyer,10.162.36.236,"Mumbai, IN",13,True,0,False,login_success
EVT-1000,2026-09-19 13:16:04.544255,j.fernandes,10.221.68.226,"Mumbai, IN",13,True,0,False,login_success
EVT-1037,2026-09-19 13:18:04.544255,v.das,10.133.38.20,"Mumbai, IN",13,True,0,False,login_success
